Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DC.4+.MLN	-8.66883527499e-10	9.50987617293e-10	0.819000153958
Tgd.vg2-.Sp.TCRbko	-9.38221621197e-10	1.02496799967e-09	0.820000434738
EO.AT.v2	-8.86481476692e-10	9.61720833198e-10	0.821674653011
CD8.96h.LN	-1.15214550554e-09	1.23088032536e-09	0.825372090015
T.8Eff.Sp.OT1.12hr.LisOva	-1.2350240432e-09	1.28041547186e-09	0.832614736336
Ep.MEChi.Th	-8.40807062917e-10	8.54514754321e-10	0.837432042923
CD8.5h.LN	-1.30033016112e-09	1.29270301744e-09	0.842768198315
Ep.5wk.MEClo.Th	-9.1763057155e-10	9.08861849813e-10	0.843668023965
Ep.8wk.MEChi.Th	-7.99709953381e-10	7.82946663647e-10	0.846470006726
Tgd.vg1+vd6+24alo.Th	-1.08991140756e-09	1.06300517351e-09	0.847391879611
Mo.6C-II+.Bl	-9.28922304983e-10	8.9036938929e-10	0.851595293944
Tgd.vg1+vd6-24alo.Th	-8.37906309616e-10	8.02580185697e-10	0.851760935676
Ep.8wk.MEClo.Th	-9.32276353578e-10	8.92887202667e-10	0.85178375948
CD4.96h.LN	-1.17255705393e-09	1.12172226991e-09	0.852062107681
T.8Eff.Sp.OT1.24hr.LisOva	-1.32421462989e-09	1.23948727643e-09	0.857320196494
MF.Thio5.II-480hi.PC	-1.0498377311e-09	9.3050015703e-10	0.870393034187
MC.PC	-1.05091822133e-09	8.88077395808e-10	0.881667407424
Ep.5wk.MEChi.Th	-9.7851671807e-10	7.97624972423e-10	0.89004885262
Tgd.vg2+24alo.Th	-1.3564506123e-09	1.10183524519e-09	0.890854083938
T.8MemKLRG1-CD127+.Sp.d8.LisOVA	-1.08197288784e-09	8.75559969962e-10	0.891724173884
DC.11b-.AT.v2	-1.35727656865e-09	1.06102597972e-09	0.899588695348
GN.Thio.PC	-1.44391559486e-09	1.1273221088e-09	0.899874494971
GN.Arth.SynF	-1.13884309704e-09	8.84451446383e-10	0.901061990373
T.DP69+.Th.v2	-1.23854032934e-09	9.55832312375e-10	0.902472901016
T.8Eff.Sp.OT1.d8.LisOva	-1.61312823002e-09	1.24488690892e-09	0.902478323242
ILC3.NKp46-.4-.SI	-1.23230947539e-09	9.32093262817e-10	0.906930603561
T.8Eff.Tbet+.Sp.OT1.d6LisOVA	-1.46184327422e-09	1.10543420499e-09	0.90698507694
SC.GMP.BM	-1.64608279905e-09	1.23039913234e-09	0.909526445407
CD8.CTR.LN	-1.51440717834e-09	1.11278865793e-09	0.913229212709
DC.103-11b+24+.Lu	-1.48988779182e-09	1.09178640346e-09	0.913815791579
MC.digest.PC	-1.24127770839e-09	9.09347895303e-10	0.913876556496
SC.CMP.BM.DR	-1.40780760476e-09	1.02219517832e-09	0.915780897688
MF.AT.v2	-1.37868234598e-09	9.953349692e-10	0.91699579308
MC.Tr	-1.36590935728e-09	9.85280542269e-10	0.917174655874
GN.BM	-1.38649297713e-09	9.95491657798e-10	0.918155636595
MC.Es	-1.34571484488e-09	9.45160291564e-10	0.922747141478
T.8Eff.Sp.OT1.48hr.LisOva	-1.83021201753e-09	1.26972152193e-09	0.925268082513
CD4.CTR.LN	-1.54387974262e-09	1.06835022229e-09	0.925785999068
GN.UrAc.PC	-1.43023189373e-09	9.77609269728e-10	0.928264845545
MF.II+480lo.PC	-1.68205189567e-09	1.14663407463e-09	0.928804820118
DC.8-.Th	-1.56592351192e-09	1.06303715068e-09	0.929633332794
T.8Eff.Sp.OT1.d15.VSVOva	-1.37829379246e-09	9.35482435976e-10	0.929671764873
T.4Mem49d+11a+.Sp.d30.LCMV	-1.56688851589e-09	1.05300739818e-09	0.931626244602
MF.Medl.SLN	-1.27809799886e-09	8.27934577766e-10	0.938671739601
Ep.8wk.CEChi.Th	-1.49863085006e-09	9.55377727828e-10	0.941632506532
GN.Arth.BM	-1.58342019788e-09	1.00573341308e-09	0.94230175289
Mo.6C+II-.BM	-1.91453286431e-09	1.17246939197e-09	0.948755666149
ILC1.CD127+.Sp	-1.4256800992e-09	8.70936975881e-10	0.949179519325
MF.11c-11b+.Lu	-1.64700449516e-09	1.00430985899e-09	0.949490825015
GN.Bl.v2	-1.50514801532e-09	9.0223579972e-10	0.952366191394
FRC.SLN.v2	-1.72520885715e-09	1.03168943655e-09	0.952759253465
MEChi.GFP+.Adult.KO	-1.27695221944e-09	7.5590180595e-10	0.954419948008
T.4Eff49d+11a+.Sp.d8.LCMV	-2.08647345943e-09	1.22798187183e-09	0.955350554005
MC.Sk	-1.57865031694e-09	9.23151587147e-10	0.956373182952
LEC.MLN	-2.0684677873e-09	1.19760008818e-09	0.957932094377
DC.8+.Th	-1.91110399027e-09	1.10145882115e-09	0.958635461399
B1a.Sp.v2	-1.52282988257e-09	8.67364675343e-10	0.960429952254
MF.Thio5.II-480int.PC	-1.79682839729e-09	1.01267015468e-09	0.961997126555
MEChi.GFP-.Adult	-1.45870058824e-09	8.10246410641e-10	0.96409472052
MF.Sbcaps.SLN	-1.51181197581e-09	8.37874507265e-10	0.964411127675
MF.II-480hi.PC	-1.92199439261e-09	1.05998676994e-09	0.965101428669
Ep.5wk.MEC.Sca1+.Th	-1.65211016424e-09	9.07768624538e-10	0.965618087421
DN.SLN.CFA.d6.v2	-1.96725273515e-09	1.07969003051e-09	0.965776547295
T.4Nve44-49d-11a-.Sp	-1.94104013743e-09	1.05199542046e-09	0.967488737527
LEC.SLN	-2.13722830082e-09	1.14558920581e-09	0.968952368824
CD8.1h.LN	-2.08505732205e-09	1.07280843603e-09	0.974025157192
T.8EffKLRG1+CD127-.Sp.d8.LisOVA	-1.58960782436e-09	8.10368390059e-10	0.975094686742
MF.103-11b+.Lu	-1.8187236431e-09	9.0676579977e-10	0.97755724945
DC.11b+.AT.v2	-1.87849641097e-09	9.29823672732e-10	0.978322391412
Mo.6+2-.BL	-1.9284491807e-09	9.34604220116e-10	0.980462011295
DN.SLN.v2	-2.26302017176e-09	1.09590584491e-09	0.980537403421
T.8Eff.Sp.OT1.d8.VSVOva	-2.26967883412e-09	1.09629502847e-09	0.980788691273
FRC.MLN	-2.23500798474e-09	1.04960688774e-09	0.983388428341
LEC.SLN.OT	-2.56325870083e-09	1.20228508344e-09	0.983496128951
Fi.Sk	-2.11573212909e-09	9.87757325651e-10	0.983901464077
Mo.6C-II-.BM	-2.36751151657e-09	1.10047348926e-09	0.984275989951
MF.Microglia.CNS	-2.02277327482e-09	9.37679949322e-10	0.984505376713
CD4.1h.LN	-2.05546727233e-09	9.26511741574e-10	0.986739655992
BEC.SLN.OT	-2.7904056917e-09	1.25387485762e-09	0.986973672673
GN.Bl	-2.16559330542e-09	9.50226622403e-10	0.988667306634
St.31-38-44-.SLN	-2.58366843549e-09	1.10434265547e-09	0.990346590159
BEC.SLN	-2.98309068184e-09	1.27305599485e-09	0.990441760258
MF.Thio5.II+480int.PC	-2.24946791546e-09	9.58656710447e-10	0.990524134949
DC.IIhilang-103-11b+.SLN	-2.45635972661e-09	1.0398608581e-09	0.990916590392
T.8Eff.Tbet-.Sp.OT1.d6LisOVA	-2.85904960591e-09	1.18822354434e-09	0.991939280736
BEC.MLN	-3.16784308002e-09	1.29254814673e-09	0.992874055747
MF.Thio5.II+480lo.PC	-2.51482458594e-09	1.02422965233e-09	0.992962287911
Fi.MTS15+.Th	-2.82505450318e-09	1.1447683968e-09	0.993202605344
DC.4+.SLN	-2.32989526507e-09	9.1008978569e-10	0.994767474163
MF.169+11chi.SLN	-2.33124580741e-09	8.79198862069e-10	0.995993919392
Mo.6C+II-.Bl	-2.66038329708e-09	9.91108964425e-10	0.996365353354
DC.LC.Sk	-3.02103015573e-09	1.05589914742e-09	0.997889112414
FRC.SLN.OT	-2.94280672867e-09	1.01439757983e-09	0.998140360832
FRC.SLN	-2.96189606406e-09	1.01803391999e-09	0.99818954424
